Timestamp,SessionID,Most Common State,Respawns at C1,Respawns at C2,Respawns at C3,Respawns at C4,Respawns at C5
10/19/2024 21:34:12,638649704519093700,17,TRUE,8.377637,,,
10/20/2024 13:51:40,638650290993025230,34,TRUE,6.947922,,,
10/20/2024 13:52:36,638650291561104090,84,TRUE,8.669752,,,
10/20/2024 13:54:47,638650292862152430,69,TRUE,0.9503734,,,
10/20/2024 13:56:17,638650293767204690,66,TRUE,3.084688,,,
10/20/2024 13:58:03,638650294829684570,76,TRUE,1.969668,,,
10/20/2024 14:08:24,638650300384405030,41,TRUE,1.233367,,,
10/20/2024 14:23:19,638650309152450630,STATE_MED,0,0,,,
10/20/2024 14:26:13,638650311056337940,STATE_MED,0,0,,,
10/20/2024 14:39:39,638650319171968300,STATE_LARGE,0,0,,,
10/20/2024 15:18:31,6.3865E+17,STATE_MED,0,0,0,0,
10/20/2024 17:44:56,638650430142729060,STATE_MED,0,0,,,
10/20/2024 17:55:05,638650436067141160,STATE_MED,0,0,0,0,
10/20/2024 18:02:23,638650439846472820,STATE_MED,4,3,0,6,
10/20/2024 18:06:34,638650442271677060,STATE_MED,4,2,0,5,
10/20/2024 18:18:09,638650449945884560,STATE_MED,0,2,6,0,
10/20/2024 18:22:55,638650452400335100,STATE_MED,0,0,0,3,
10/20/2024 18:43:58,638650464917805320,STATE_MED,2,2,2,2,
10/20/2024 18:51:02,638650469680075270,STATE_MED,0,0,0,3,
10/20/2024 20:43:56,638650538132431420,STATE_MED,0,0,0,0,
10/20/2024 20:44:28,638650538513526560,STATE_LARGE,0,0,0,0,
10/20/2024 20:46:13,638650538844207300,STATE_MED,0,0,0,7,
10/20/2024 20:48:06,638650540137324380,STATE_MED,0,0,0,3,
10/20/2024 20:50:42,638650541726861600,STATE_MED,0,0,0,0,
10/20/2024 21:02:13,638650548659680310,STATE_LARGE,0,0,0,0,
10/20/2024 21:11:00,638650553428071750,STATE_LARGE,0,0,0,0,0
10/20/2024 21:25:44,638650562616891130,STATE_LARGE,0,0,0,0,0
10/20/2024 21:30:12,638650565412569030,STATE_LARGE,0,0,0,3,5
10/20/2024 21:52:01,638650578479802260,STATE_LARGE,3,5,0,0,0
